program,programme,year,programLink,programLink FR,programLogoLink,programLogoLink FR,sponsor,sponsor FR,sponsorLink,sponsorLink FR,sponsorLogoLink,sponsorLogoLink FR,location,location FR,address,city,province,region,région,totalPlanted,environmentalBenefits,projectGoals,Objectifs,latitude,longitude,imageLink,species,essences,numberPlanted,notes,notes FR
Program,Programme,2013,http://treecanada.ca/en/programs/,http://treecanada.ca/fr/programmes/,/images/logos/en_logo.png,/images/logos/logo_fr.png,VIP,VIP,https://treecanada.ca/en/,https://treecanada.ca/fr/,/images/logos/en_logo.png,/images/logos/fr_logo.png,Habitat Improvement,Amélioration d'habitat,Squamish-Whistler ,Squamish,BC,British Columbia,Colombie-Britannique,1300,266 tonnes of CO2 should approximately be sequestered over an 80-year period**  ,Watershed Protection;; Urban Open Space Naturalization,Protection des bassins versants;; Naturalisation d'espaces urbains ,49.701835,-123.155722,/images/plantings/2013/2013_squamish.png,Thimbleberry,Rubus Parviflorus,200,Whittaker Slough - Cheakamus Berm - Brittania Slough ,Whittaker Slough - Cheakamus Berm - Brittania Slough 
Program,Programme,2013,http://treecanada.ca/en/programs/,http://treecanada.ca/fr/programmes/,/images/logos/en_logo.png,/images/logos/logo_fr.png,VIP,VIP,https://treecanada.ca/en/,https://treecanada.ca/fr/,/images/logos/en_logo.png,/images/logos/fr_logo.png,Habitat Improvement,Amélioration d'habitat,Squamish-Whistler ,Squamish,BC,British Columbia,Colombie-Britannique,1300,266 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Watershed Protection;; Urban Open Space Naturalization,Protection des bassins versants;; Naturalisation d'espaces urbains ,49.701835,-123.155722,/images/plantings/2013/2013_cnec_squamish.png,Salmonberry,Ronce Remarquable,200,Whittaker Slough - Cheakamus Berm - Brittania Slough ,Whittaker Slough - Cheakamus Berm - Brittania Slough 
Program,Programme,2013,http://treecanada.ca/en/programs/,http://treecanada.ca/fr/programmes/,/images/logos/en_logo.png,/images/logos/logo_fr.png,VIP,VIP,https://treecanada.ca/en/,https://treecanada.ca/fr/,/images/logos/en_logo.png,/images/logos/fr_logo.png,Habitat Improvement,Amélioration d'habitat,Squamish-Whistler ,Squamish,BC,British Columbia,Colombie-Britannique,1300,266 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Watershed Protection;; Urban Open Space Naturalization,Protection des bassins versants;; Naturalisation d'espaces urbains ,49.701835,-123.155722,/images/plantings/2013/2013_cnec_squamish.png,Spruce,Épinette,200,Whittaker Slough - Cheakamus Berm - Brittania Slough ,Whittaker Slough - Cheakamus Berm - Brittania Slough 
Program,Programme,2013,http://treecanada.ca/en/programs/,http://treecanada.ca/fr/programmes/,/images/logos/en_logo.png,/images/logos/logo_fr.png,VIP,VIP,https://treecanada.ca/en/,https://treecanada.ca/fr/,/images/logos/en_logo.png,/images/logos/fr_logo.png,Habitat Improvement,Amélioration d'habitat,Squamish-Whistler ,Squamish,BC,British Columbia,Colombie-Britannique,1300,266 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Watershed Protection;; Urban Open Space Naturalization,Protection des bassins versants;; Naturalisation d'espaces urbains ,49.701835,-123.155722,/images/plantings/2013/2013_cnec_squamish.png,Red Cedar,Genévier de Virginie,50,Whittaker Slough - Cheakamus Berm - Brittania Slough ,Whittaker Slough - Cheakamus Berm - Brittania Slough 
